© COELO, Groningen			OZB										Afvalstoffenheffing					Rioolheffing huishoudens				Rioolheffing bedrijven																	Woonlasten		Woonlasten							Toeristenbelasting			Hondenbelasting		Leges			Leges							
Provinciecode	Gemeente code	Gemeentenaam	Tarief woningen	Mutatie Tarief woningen	Tarief eigenaar niet-woning	Mutatie Tarief eigenaar niet-woning	Tarief gebruiker niet-woning	Mutatie Tarief gebruiker niet-woning	Tarief niet-woning eigenaar+gebruiker	Mutatie Tarief niet-woning eigenaar+gebruiker	Gemiddeld betaalde ozb woningen		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden	Waterverbruik 100 m3	Mutatie Waterverbruik 100 m3	waterverbruik 200 m3	Mutatie waterverbruik 200 m3	Waterverbruik 300 m3	Mutatie Waterverbruik 300 m3	Waterverbruik 400 m3	Mutatie Waterverbruik 400 m3	Waterverbruik 500 m4	Mutatie Waterverbruik 500 m4	Waterverbruik 2100 m3	Mutatie Waterverbruik 2100 m3	Waterverbruik 2500 m3	Mutatie Waterverbruik 2500 m3	Waterverbruik 6000 m3	Mutatie Waterverbruik 6000 m3	Waterverbruik 30.000 m3	Mutatie Waterverbruik 30.000 m3		Heffingskorting éénpersoonshuishouden	Heffingskorting meerpersoonshuishouden	Woonlasten éénpersoonshuishouden	Mutatie Woonlasten éénpersoonshuishouden	Woonlasten meerpersoonshuishouden	Mutatie Woonlasten meerpersoonshuishouden		Toeristenbelasting overnachting camping	Toeristenbelasting hotelovernachting	Mutatie Toeristenbelasting hotelovernachting	Hondenbelasting	Mutatie Hondenbelasting	Parkeerbelasting	Mutatie Parkeerbelasting		Paspoort	Mutatie Paspoort	Identiteitskaart	Mutatie Identiteitskaart	Rijbewijs	Mutatie Rijbewijs	Uittreksel BRP	Mutatie Uittreksel BRP
			%	%	%	%	%	%			euro		euro	%	euro	%		euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%		euro	euro	euro	%	euro	%		euro	euro	%	euro	%		%		euro	%	euro	%	euro	%	euro	%
1	1950	Westerwolde	0.1411	11.99	0.3104	7.09	0.1876	9.52	0.498	7.99	471.9		353.29	8.84	376.58	5.73		307	4.78	307	4.78																				0	0	1132.19	8.97	1155.48	7.93		1.25	1.25	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	8.85	4.73
2	0059	Achtkarspelen	0.1299	11.84	0.3214	1.43	0.2531	1.42	0.5745	1.42	420.6		245.28	-6.96	350.4	-6.95		220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13		0	0	885.96	6.17	991.08	4.61		1.5	1.5	0	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	16.6	5.73
2	0060	Ameland	0.0672	5.94	0.1517	4.5	0.1214	4.48	0.2731	4.49	275.07		178.11	2	233.99	2		149.55	0	176.92	0	165.6	0	215.6	0	265.6	0	315.6	0	365.6	0	1165.6	0	1365.6	0	3115.6	0	12500	0		0	0	602.73	3.24	685.98	3		2	2	11.11	0	0	0	0		83.85	7.68	75.8	7.7	51.1	14.45	11.25	0
2	1891	Dantumadiel	0.1411	0.8	0.2978	4.05	0.2317	4.05	0.5295	4.05	530.26		204.72	0	255.75	0		188.23	0	188.23	0																				0	0	923.21	0.46	974.24	0.43		1	1	0	0	0	0	0		62.5	0	55.5	0	38	10.14	11.95	0
2	1940	De Fryske Marren	0.0877	0.79	0.2846	8.71	0.214	8.7	0.4986	8.7	343.26		236	5.83	300	4.9		125	0	214	0	119	0	211	0	303	0	395	0	487	0	1959	0	2327	0	5547	0	23754	0.08		0	0	704.26	2.28	857.26	1.98		1.2	1.2	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	21.67	8.5	3.03
2	0072	Harlingen	0.0977	2.42	0.3601	18.06	0.2704	17.23	0.6305	17.71	285.97		217.08	2.09	323.04	2.09		190.8	11.03	190.8	11.03																				0	0	693.85	4.54	799.81	4.21		1.55	1.55	29.17	0	0	1.1	0		83.87	7.73	75.8	7.75	51.11	14.47	4.95	3.13
2	0074	Heerenveen	0.1087	-0.58	0.3587	-1.95	0.2862	-2.07	0.6449	-2	429.51		220.23	4.26	285.46	3.26		190	4.97	253	4.55	594	4.95	594	4.95	814	4.9	1034	4.87	1254	4.85	4114	4.71	4754	4.69	10354	4.63	32754	2.31		0	0	839.74	1.88	967.97	1.84		1	2.35	0	0	0	1.8	0		83.85	7.71	75.8	7.75	51.1	14.45	9.2	3.37
2	0080	Leeuwarden	0.11048	9.23	0.49046	5.85	0.39236	5.85	0.88282	5.85	358.62		210	0.74	323.62	0.72		136.81	-5.91	169.1	-5.7																				0	0	705.43	3.41	851.34	2.7		1.65	1.65	0	81.9	7.3	3	0		83.8	7.62	75.8	7.7	51.1	14.45	15.9	7.36
2	1970	Noardeast-Fryslân	0.1179	2.93	0.2686	9.72	0.2048	9.48	0.4734	9.62	385.36		167.12	-14.45	237.44	-14.45		240.21	0	240.21	0	240.21	0	261.42	0	261.42	0	303.84	0	325.05	0	515.94	0	579.57	0	1067.4	0	4461	0		0	0	792.69	-2.13	863.01	-3.27		1.5	1.5	0	0	0	2.4	0		83.85	7.79	75.8	7.81	48.15	7.84	8.7	2.96
2	0085	Ooststellingwerf	0.0741	-5.12	0.0951	6.93	0.0793	was vorig jaar 0	0.1744	96.09	267.93		218.68	32.39	279.36	23.69		170.85	3.08	296.3	3.1	248	138.92	389	274.76	508	12.44	627	10.43	746	9.1	2411	16.48	2691	14.91	4871	9.17	11391	6.04		0	0	657.46	7.19	843.59	6.02		1.1	1.5	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	7.5	0
2	0086	Opsterland	0.0808	3.31	0.1817	-0.15	0.1473	0.04	0.329	-0.07	308.76		198.83	-0.75	240.67	-0.62		211	0	277	0	197	0	289	0	289	0	289	0	289	0	1187	0	1187	0	2084	0	8711	0		0	0	718.59	1.18	826.43	1.02		2.64	3.43	3.83	0	0	0	0		83.5	7.74	75.5	7.86	51	22.89	8	0
2	0088	Schiermonnikoog	0.0983	22.01	0.2227	6.11	0.1792	6.08	0.4019	6.1	454.07		258.41	1.99	336.8	1.99		129.97	1.96	187.96	1.95	164	1.95	270	1.94	464.24	1.95	570.24	1.94	676.24	1.94	2372.24	1.93	2796.24	1.93	6506.24	1.92	31946.24	1.92		0	0	842.45	11.88	978.83	10.38		1.93	1.93	2.12	0	0	0	0		83.85	12.17	75.8	12.21	51.11	14.47	5	1.21
2	0090	Smallingerland	0.1052	4.94	0.3822	5.11	0.3061	8.25	0.6883	6.48	368.49		251	6.81	295	6.5		296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86	296	3.86		0	0	915.49	5.09	959.49	5.07		1.6	1.6	6.67	77	4.05	2	5.26		83	7.79	75	7.14	48.15	7.84	7.5	4.17
2	1900	Súdwest Fryslân	0.1102	6.87	0.3238	6.91	0.259	6.64	0.5828	6.79	382.53		239.64	6.39	286.92	6.41		203.42	6.59	203.42	6.59	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95	298.7	6.95		0	0	825.59	6.66	872.87	6.65		1.25	1.25	0	0	0	0.96	20		83.85	7.71	75.8	7.75	51.1	14.45	12.2	7.02
